what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329921908402
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329921913333
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329921921723
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329921924647
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1329921929019
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329921933210
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329921935496
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329921937690
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329921942109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329921942798
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329921943650
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329921945236
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1329921948186
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329921948868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329921950990
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329921952287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329921954074
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329921960410
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329921963599
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329921978087
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1329921981058
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329921981557
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329921983770
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1329921986885
