what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329315533745
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329315537581
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329315679184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329315696568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329315732840
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1329315733084
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329315734673
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316355123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316362444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316364093
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329316372928
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316382075
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316382324
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1329316397186
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1329316400877
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329316408122
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329316422218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329316422702
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329316425102
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329316425614
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329316430800
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1329316433557
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329316460670
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316466419
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316474608
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316479459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316487363
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316498052
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316509776
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329316511678
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316515881
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316517302
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316527859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316528055
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1329316536787
no handler,command,com.quest.toad.cloud,,"com.quest.toad.cloud.explorer.commands.ConnectDataHub",1329316537526
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329316538542
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329316542403
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329316547168
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329316558731
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329316560271
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329316566397
no handler,command,com.quest.toad.cloud,,"com.quest.toad.cloud.explorer.commands.ConnectDataHub",1329316577285
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329316579396
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1329316589673
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329316615663
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329316616760
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1329316619130
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329316641310
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329316647849
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1329316651112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316652791
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316663547
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329316666487
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329316669307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316744449
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316755746
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329316763142
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316803173
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329316853754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329317526666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329318604322
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329318617286
no handler,command,com.quest.toad.cloud,,"com.quest.toad.cloud.explorer.commands.ConnectDataHub",1329318656871
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329318658478
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329318669325
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329318692969
no handler,command,com.quest.toad.cloud,,"com.quest.toad.cloud.explorer.commands.ConnectDataHub",1329318801270
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329318803460
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329318805946
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1329318811062
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329318811467
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329318829235
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329318832680
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329318846455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329318855457
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329318855685
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329318855848
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329318859572
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329318861872
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329318924918
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1329318934460
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329318937107
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329318940186
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329318953484
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329318956489
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329318958182
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329318958207
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329318958803
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329318969869
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329318978066
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329318984519
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329319002875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329319010188
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319013951
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319033600
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329319035022
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329319038466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319041100
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319097170
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329319100562
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1329319101751
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329319103286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329319110629
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329319113129
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319125048
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319126357
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319132386
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319133991
no handler,command,com.quest.toad.cloud,,"com.quest.toad.cloud.explorer.commands.ConnectDataHub",1329319152307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319153115
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319232681
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319232783
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319233460
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319233498
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329319235881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1329319251734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319257446
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329319259498
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319279652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319295129
no handler,command,com.quest.toad.cloud,,"com.quest.toad.cloud.explorer.commands.ConnectDataHub",1329319314770
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329319317712
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329319321442
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319322224
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319325126
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329319349150
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319472977
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319546287
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319574868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319649547
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329319666781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329319667923
no handler,command,com.quest.toad.cloud,,"com.quest.toad.cloud.explorer.commands.ConnectDataHub",1329319673647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329319678430
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329319696182
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329319702401
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329319710829
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319714457
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329319714616
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329319716081
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329319716972
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329319732726
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329319749851
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329319761251
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329319762012
